tech_id,branch,name,year,starting,chance_pct,cost,effect
241,Sensors,Acoustic Ranging,2031,0,46,700,Gradual detection of moving targets
242,Sensors,Search Radar,2045,0,32,2200,Enables radar detection beyond line of sight
243,Sensors,LIDAR Array,2049,0,28,2900,High-precision ranging; fire-control synergy
244,Sensors,Datalink Network,2052,0,25,3400,Shares contacts across a lance (network-centric)
245,Sensors,Sensor Fusion Suite,2058,0,22,4100,Gradual detection and ID improvement; clutter rejection
246,Sensors,Low-Probability-of-Intercept Radar,2064,0,18,5000,Harder to detect/jam; gradual stealth-sensing gain
260,DRONES,Recon Drone Operations,2055,0,26,3200,Unlocks recon drones; extends vision (high altitude)
261,DRONES,Long-Endurance Recon,2058,0,24,3700,Unlocks high-altitude long-range recon drone
262,DRONES,Loitering Munitions,2057,0,24,3900,Unlocks loiter-munition drones (top-attack strike)
263,DRONES,Dedicated Strike Drones,2059,0,23,4300,Unlocks strike drones (heavy payload; fast)
264,DRONES,Satellite Drone Control,2060,0,21,4600,Enables over-the-horizon satellite-linked drones
265,DRONES,Mesh Networking,2061,0,20,4800,Enables mesh-linked drone cooperation
266,DRONES,Fire-and-Forget Seekers,2062,0,19,5000,Enables autonomous terminal homing payloads
267,DRONES,Fibre-Optic Tether,2064,0,17,5600,Enables fibre-optic drone control (jam-immune; short range)
268,DRONES,Swarm Autonomy AI,2065,0,16,6200,Enables swarm drones with swarm-AI coordination
269,DRONES,EMP Payloads,2066,0,15,6500,Enables EMP drone payloads (disable enemy electronics)
270,DRONES,Thermobaric Warheads,2061,0,19,4900,Enables thermobaric drone payloads (area effect)
280,Electronic Warfare,Radio Jamming,2060,0,22,4000,Unlocks jammer module; degrades radio-linked enemy drones in radius
281,Electronic Warfare,Drone Detection Suite,2060,0,22,3800,Unlocks drone detector; early warning of inbound drones
282,Electronic Warfare,GNSS/Signal Spoofing,2061,0,20,4400,Unlocks spoofer; misdirects waypoint and satellite drones
283,Electronic Warfare,C-UAS Hardkill,2062,0,19,4900,Unlocks CUAS turret (point defence against drones)
284,Electronic Warfare,Hardened Datalink,2063,0,19,4200,Unlocks hardened link; counters enemy jamming of your drones
285,Electronic Warfare,Frequency Hopping,2064,0,18,4500,Unlocks freq-hop; gradual resistance to jamming and spoofing
286,Electronic Warfare,Wideband Jamming,2067,0,15,6400,Unlocks wideband jammer (large radius; high strength)
287,Electronic Warfare,Counter-Swarm Doctrine,2068,0,14,6900,Gradual effectiveness gain of C-UAS against swarm-AI drones
288,Electronic Warfare,Autonomous EW Management,2069,0,13,7400,Automated jamming/spoofing allocation; gradual EW efficiency gain
289,Comms & Intel,Tight-Beam Laser Comms,2025,1,100,0,Baseline line-of-sight laser comms net (radio is jammed); units need LOS to relay
290,Comms & Intel,Improved Optical Links,2034,0,30,2200,+30% comms range; steadier relay over distance
291,Comms & Intel,Relay Drone Doctrine,2056,0,24,3600,Enables recon/relay drones to bridge comms over terrain (re-broadcast across LOS gaps)
292,Comms & Intel,Radio Direction Finding,2038,0,26,3000,Unlocks RDF; locate emitting enemy units (jammers/active sensors) without LOS
293,Comms & Intel,Emission Control Discipline,2042,0,24,2600,Reduces own RDF signature when sensors/jammers are off (go quiet to stay hidden)
294,Comms & Intel,Adaptive Camouflage,2046,0,22,3400,-25% enemy detection range vs your crabs (camouflage netting/adaptive skin)
295,Comms & Intel,Active Camouflage,2061,0,16,6200,-45% enemy detection range; very hard to spot until close
296,Comms & Intel,Mesh / Satellite Comms,2066,0,12,8800,LOS-independent control - removes the comms fog of war (premium endgame unlock)
297,Sensors,Hardened Sensor Mast,2040,0,24,2800,Comms mast/datalink more resistant to hits (stays on the net longer under fire)
298,Comms & Intel,Ghost Track Prediction,2050,0,20,3200,Off-net ghost markers drift more slowly - better last-known position estimates
